No,Title,Author,Link,Publisher,Year,Pages,Format,Literary Form,Library,Items Available,Call Number,Edition,Material Type,Image URL
1351,Organic Chemistry: Volume 2: Stereochemistry And The Chemistry Natural Products,"Finar, I.L",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=753,Pearson Education,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QD251 .F49.,5th ed,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1352,Organic Chemistry The Fundamental Principlesi L Finarxiv; 965P.; Ill.,"Finar, I. L",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=755,Pearson Education,1973,965,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"QD253 .F49, ...",6th ed,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1353,"Omo Olokun-Esin Vi, 164P.: Illadebayo Faleti","Faleti, Adebayo",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=756,Heineman Educational Books,1993,164,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PL8824   .F18.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1354,Dictionary Of World Historyedmund Wright712P,Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=761,Oxford University Press,2016,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,D9 .D54.,2nd,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1355,"Patient Safety And Managing Risk In Nursingmelanie Fisher And Margaret Scott- Viii, 189P.; Ill.","Fisher, Melanie",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=763,Sage/ Learning Matters,2013,189,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"R729.8 .F53, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1356,Ìwé Àsà Ìbílè Yorùbá/ Olúdáre Olájubù,"Olájubù, Olúdáre",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=766,"Longman Publishers,",2011,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PL8821 .Ol1.,3rd ed,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1357,You Belong To Memary Higgins Clark317P,"Clark, Mary Higgins",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=767,Simon & Schuster,1978,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PS3553 .L287C55.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1358,Success With Your Early Years Research Projectrosie Walker And Carla Solvasonxii: 147P; Ill.,"Walker, Rosie",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=768,Sage Publications,2014,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"LB1139.225 .W15, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1359,"Highway Engineeringpaul H. Wright [And] Karen K .Dixon.-Vii, 677P., Ill","Wright, Paul H",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=773,John Wiley & Sons,2004,677,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TE145 .W93, ...",7th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1360,"Evidence-Based Practice For Nurses & Health Care Professionalsjanet Barker, Paul Linsley & Ros Kanexii, 228P.; Ill.","Barker, Janet",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=775,Sage,2016,228,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC455.2 .E94B24, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1361,Fundamentals Of Auditing,"Obawusi, Joshua Olanrewaju",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=777,Osat Publishers,1998,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(4),4,"HF5667 .Ob1, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1362,"Organizational Behavior & Managementrobert Konopaske, John M. Ivancevich [And] Michael T. Mattesonxix; 604P","Konopaske, Robert",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=778,McGraw-Hill Education,2018,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HD58.7 .K83.,11th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1363,"Reach The Highest Standard In Professional Learning Datathomas R. Guskey, Patricia Roy, Valerie Von Frank","Guskey, Thomas R. Roy, Patricia. Frank, Von Valerie",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=779,CORWIN Press,Unknown,0,; print,; Not fiction,Education Library(1),1,LB1715 .T36.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1364,Quantity Surveying Practiceivor H. Seeley,"Seeley, Ivor H",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=780,Macmillan,1984,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TH435 .Se31 	, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1365,Haralambos & Holborn Sociology Themes And Perspectivesmichael Haralambos,Michael Haralambos,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=781,Collins,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HM585 .H22.,8th,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1366,"Unit Operations Of Chemical Engineeringwarren Mccabe,","Mccabe, Warren",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=783,McGraw-Hill,2005,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TP155.7 .M12, ...",7th,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1367,Roots Of Economic Growthe.  F. Schumacher,"Schumacher, E.  F",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=785,Grandhian Institute of Studies,1962,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,MD82 .Sch8.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1368,Style And Subjectlouise Elizabeth Rorabacher,"Rorabacher, Louise Elizabeth",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=786,Harper & Row,1966,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PE1417 .R69.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1369,"The Principles And Concepts Of Yoruba Language And 1,122 Yoruba Proverbs According To The Wisdom Of Elders In Yoruba Landj.S. Olaoyexvii, 195P.","Olaoye, J.S",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=788,Famost  Print Media,2012,195,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"PL8821 .Oi1, ...",2nd ed,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1370,"Engaging Young Children With Informational Bookshelen Patrick, Panayota Mantzicopoulosxiv, 214P; Ill.","Patrick, Helen. Mantzicopoulos, Panayota",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=793,CORWIN Press,2014,0,; print,; Not fiction,Education Library(1),1,LB1576 .P27.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1371,Bluff Your Way In Social Climbingjohn Walker64P.,"Walker, John",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=794,Wolfe Publishers,1967,64,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,DA566.4 .W15.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1372,Digital Fortress,"Brown, Dan",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=796,Martin’s Press,1998,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PS3552 .B81D56.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1373,Willis’S Elements Of Quantity Surveying,"Lee, Sandra",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=802,Wiley-Blackwell,2011,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TH435 .L51, ...",11th ed,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1374,"Golf The Players, The Tournaments, The Recordscarlo De Vito205P.","De Vito, Carlo",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=803,Hallmark Gift Books,2010,205,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,GV967 .D34.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1375,"Face Of A Nation:  Democracy In Nigeria, Foreign Relations And National Imagezimako O. Zimakoxxix, 295P.","Zimako, Zimako O",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=807,"Modern Approach,",2009,295,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"JC423 .Zi6, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1376,Surveying With Construction Applicationsbarry .F. Kavanagh [And] Dianne K. Slattery.619P.; Ill.,"Kavanagh, Barry F",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=808,Pearson Education,2015,619,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TA625 .K17, ...",8th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1377,"The Fate Of Vultures And Other Poemstanure Ojaidex, 99P.","Ojaide, Tanure",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=809,Malthouse Press,1990,99,; print,; Not fiction,Unknown,0,Unknown,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1378,Open-Source Lab:  How To Build Your Own Hardware And Reduce Research Costsjoshua M. Pearce,"Pearce, Joshua M",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=810,Elsevie,2014,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"Q185 .P31, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1380,Sociology & Social Workjo. Cunningham & Steve Cunningham.Transforming Social Work Practice Vii; 282P.; Ill.,"Cunningham, Jo",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=815,"Sage, Learning Matters",2014,282,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HV40 .C91, ...",2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1381,Alfred Wallace Explorer - Naturalistjoseph Cottle212P.,"Cottler, Joseph",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=817,"Little, Brown",1966,212,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QH31 .W3C82.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1382,"Student Workbook For Mathematics:  Explained For Primary Teachersderek Haylock With Ralph Manningxi, 156P.; Ill.","Haylock, Derek",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=819,Sage,2014,156,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"QA135.6 .H33, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1383,"Sustainability:  Essentials For Businessscott T. Young, Kanwalroop Kathy Dhandaxix, 416P.; Ill.","Young, Scott T",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=821,Sage,2013,416,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HD30.255 .Yo8, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1384,"Key Concepts In Mental Healthdavid Pilgrimix, 251P.; Ill.","Pilgrim, David",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=823,Sage,2017,251,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RA790 .P64, ...",4th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1385,Optical Fiber Communicationsgerd Keiserxix; 662P,"Keiser, Gerd",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=824,McGraw Hill Education,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TK5103.59 .K26, ...",5th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1386,"Psychiatric Presentations In General Practice  A Guide To Holistic Managemenk. S. Jacob, Anju Kuruvillaxv;248P.; Ill.","Jacob, K. S",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=826,Byword Books,2010,248,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC361 .J12, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1387,Managementchuck Williams,"Williams, Chuck",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=829,South-Western College publisher,2000,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HD31 .W67.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1388,Sexuality & Gender For Mental Health Professionals:  A Practical Guidechristina Richards & Meg Barker246P.,"Richards, Christina",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=830,Sage,2013,246,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"BF692 .R39, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1389,"Iap Textbooks Of Pediatric Icu Protocolspraveen Khilnani …[Et Al.].Vii, 357P.: Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=831,"Jaypee Brothers Medical Publishers,",2013,357,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RJ370 .In2, ...",2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1390,Practical English Usagemichael Swanxxix; 653P.; Ill,"Swan, Michael",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=833,"Oxford University Press,",2005,653,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"PE1106 .SW9, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1391,"Common Presenting Issues In Psychotherapeutic Practicebarbara Douglas & Pam Jamesxv, 181P.; Ill.","Douglas, Barbara",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=834,Sage,2014,181,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC480 .D74, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1392,"Nursing 2003 Drug Handbookmichael Anello, Rita Doylexiv, 1394P.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=838,Lippincott Williams,2003,1394,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,RM262 .N93.,23rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1393,"Solution-Focused Brief Therapy:  A Multicultural  Approachjohnny S. Kimix, 212P.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=842,Sage,2004,212,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC489 .So4, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1394,"Mathematics Explained For Healthcare Practitionersderek Haylock & Paul Warburtonxi, 242P.; Ill.","Haylock, Derek",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=843,Sage,2013,242,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT68 .H33, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1395,Test Bank To Accompany Core Concepts In Healthkathy Mcginnis,"Mcginnis, Kathy",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=844,McGraw-Hill,2004,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,R728.8 .T36.,9th,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1396,"Therapy For Eating Disorders: Theory, Research & Practicesara Gilbertxii, 250P.; Ill.","Gilbert, Sara",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=845,Sage,2014,250,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC552  .E18G38, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1397,"Modern Physics: For B.Sc./M.Sc. Students As Per Syllabi Of Different Indian Universities And Also As Per Ugc Model Curriculumr. Murugeshan, Er. Kiruthiga Sivaprasathxvi; 1040P.","Murugeshan, R",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=846,S. Chand,2013,1040,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"QC23.2 .M96, ...",17th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1398,Water For Elephants: A Novelsara Gruenps3607 .R696W29,"Gruen, Sara",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=849,Algonquin Books,2006,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,681503,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1399,The Jero Plays: The Trial Of Brother Jero:   Jero’S Metamorphosiswole Soyinka,"Soyinka, Wole",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=850,"Spectrum Books,",1964,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(15),15,"PR9387.9 .So9J34, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1400,"Physicsjames S. Walkerxiii, 608P.; Ill.","Walker, James S",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=851,Pearson Education,2004,608,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,QC23.2 .W15.,2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1401,"Fundamentals Of Mechatronics, Simusa Jouanehxiv; 399P.; Ill.","Jouaneh, Musa",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=852,Cengage Learning,2013,399,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"TJ163.12 .J82, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1402,"Psychosocial Interventions In Mental Health Nursingsandia Walkerix, 161P.: Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=855,Sage,2015,161,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC440 .P95, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1403,Organizational Behavior: Human Behavior At Workjohn W. Newstrom,"Newstrom, John W",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=856,McGraw-Hill,2015,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HD58.7 .N47.,14th,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1404,"Clinical Judgement And Decision Making In Nursingmooi Standingix, 238P.: Ill.","Standing, Mooi",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=858,Sage,2017,238,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT42 .St1, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1405,The Case For Faith: A Journalist Investigates The Toughest Objections To Christianitylee Strobel.409P.,"Strobel, Lee",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=860,Zondervan,2000,409,Unknown,Unknown,Hezekiah Oluwasanmi Library(1),1,691466,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1406,"Nursing Research:  An Introductionpam, Moule, Helen Aveyard & Margaret Goodman.Xviii, 421P.: Ill.","Moule, Pam",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=861,SAGE Publications,2017,421,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT81.5 .M86, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1407,"Theories For Mental Health Nursing:  A Guide For Practicetheo Stickley & Nicola Wrightix, 380P.; Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=862,SAGE Publications,2013,380,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RC440 .T34	, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1408,"Palliative And End Of Life Care In Nursingjane Nicol, Brian Nyatanga.X, 173P.; Ill.","Nicol, Jane",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=864,"SAGE/ Learning Matters,",2017,173,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT87 .N54, ...",2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1409,Step-By-Step Medical Codingcarol J. Buck1161P.,"Buck, Carol J",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=865,Elsevier,2012,1161,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,RB115 .B85.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1410,"Health Promotion And Public Health For Nursing Studentsdaryl Evans, Dina Coutsaftiki [And] C. Patricia Fathersvii, 168P.; Ill.","Evans, Daryl",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=869,Learning Matters,2017,168,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RA427.8 .Ev1, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1411,"Step-Up To Usmle Step 2Jonathan P. Van Kleunenxiii,322P.","Kleunen, Jonathan P. Van",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=870,Lippincott Williams & Wilkins,2008,322,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,RC58 .V26.,2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1412,"Evidence-Based Practice In Nursingpeter Ellis.X, 177P.; Ill.","Ellis, Peter",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=871,Sage,2016,177,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT42 .El5, ...",3rd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1413,"Using Health Policy In Nursing Practicetaylor, Georgina.Viii, 168P.","Taylor, Georgina",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=873,Sage,2013,168,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT86.75 .T21, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1414,"Hard Timescharles Dickens, Introduction By Robert Donald Spector:291P.","Dickens, Charles",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=876,Bantam Dell,1981,291,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,PR4560.D55.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1415,"Key Concepts In Nursing And Healthcare Researchannette Mcintosh-Scott …[Et Al.].Xix, 286P.; Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=877,Sage,2014,286,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"RT81.5 .K52, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1416,"Economicsr. Glenn Hubbard, Anthony Patrick O’Brien.1164P.; Ill","Hubbard, R. Glenn",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=878,Pearson Education,2017,1164,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HB171.5 .H86, ...",6th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1417,"Papaya: Biology, Cultivation, Production And Usesparmeshwar Lal Saran Ishwar Singh Solanki, Ravish Choudhary.-","Saran, Parmeshwar Lal",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=879,CRC Press,2016,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HD9259 .P232Sa7.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1418,Circle Solutions For Student Wellbeing,"Roffey, Sue",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=880,Sage Publication,2014,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"LB1027.5 .R62, ...",2nd ed. -,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1419,Emergencies In Entrupa Vedantam,"Vedantam, Rupa",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=882,Byword Books,2010,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,RF46 .V51.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1420,A Companion To Survey Researchmichael Ornstein,"Ornstein, Michael",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=883,Sage,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HM538 .Or6.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1421,Teaching Systematic Synthetic Phonics:  Audit & Test “It Includes Reference Index”.,"Waugh, David",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=887,"Sage  Publication,",2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"LB1576 .W35, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
1422,"The Portable Seminary:  A Master’S Level Overview In One Volume/Horton, David.",David Horton,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=888,: Bethany House Publishers,2006,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,BV4011.3 .P83.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
